Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
IN,,Music,Cluster 3,India,Mar,2006,13-03-2006,T-Series,T-Series,Music,T-Series,19.197260274,13,28.1,9000000,108400000,20.593684,78.96288,564600,6800000,108400000,245000000,1366417754,1,245000000,2000000,1,5.36,20082,471031528,228000000000,2258000000
US,,Film & Animation,Cluster 1,United States,Mar,2006,05-03-2006,youtubemovies,youtubemovies,Film & Animation,YouTube Movies,19.219178082,5,88.2,0.05,0.58,37.09024,-95.712891,0,0.04,0.58,170000000,328239523,2,170000000,200000,1,14.7,1,270663028,0,12
US,,Entertainment,Cluster 1,United States,Feb,2012,20-02-2012,MrBeast,MrBeast,Entertainment,MrBeast,13.252054795,20,88.2,5400000,64700000,37.09024,-95.712891,337000,4000000,64700000,166000000,328239523,3,166000000,8000000,1,14.7,741,270663028,28368841870,1348000000
US,,Education,Cluster 1,United States,Sep,2006,01-09-2006,Cocomelon - Nursery Rhymes,Cocomelon - Nursery Rhymes,Education,Cocomelon - Nursery Rhymes,18.726027397,1,88.2,7900000,94800000,37.09024,-95.712891,493800,5900000,94800000,162000000,328239523,4,162000000,1000000,1,14.7,966,270663028,164000000000,1975000000
IN,,Shows,Cluster 3,India,Sep,2006,20-09-2006,SET India,SET India,Shows,SET India,18.673972603,20,28.1,7300000,87500000,20.593684,78.96288,455900,5500000,87500000,159000000,1366417754,5,159000000,1000000,1,5.36,116536,471031528,148000000000,1824000000
US,,People & Blogs,Cluster 1,United States,May,2015,12-05-2015,Kids Diana Show,Kids Diana Show,People & Blogs,Kids Diana Show,10.027397260,12,88.2,2900000,35100000,37.09024,-95.712891,182900,2200000,35100000,112000000,328239523,7,112000000,200000,1,14.7,1111,270663028,93247040539,731674000
JP,,Gaming,Cluster 4,Japan,Apr,2010,29-04-2010,PewDiePie,PewDiePie,Gaming,PewDiePie,15.065753425,29,63.2,156700,1900000,36.204824,138.252924,9800,117600,1900000,111000000,126226568,8,111000000,200000,1,2.29,4716,115782416,29058044447,39184000
RU,,People & Blogs,Cluster 1,Russia,Jan,2016,14-01-2016,Like Nastya Vlog,Like Nastya Vlog,People & Blogs,Like Nastya,9.350684932,14,81.9,195800,2300000,61.52401,105.318756,12200,146800,2300000,106000000,144373535,9,106000000,100000,1,4.59,493,107683889,90479060027,48947000
US,,Entertainment,Cluster 1,United States,Apr,2018,23-04-2018,Vlad and Niki,Vlad and Niki,Entertainment,Vlad and Niki,7.076712329,23,88.2,2300000,27900000,37.09024,-95.712891,145100,1700000,27900000,98900000,328239523,10,98900000,600000,1,14.7,574,270663028,77180169894,580574000
IN,,Music,Cluster 3,India,Mar,2014,12-03-2014,Zee Music Company,Zee Music Company,Music,Zee Music Company,11.194520548,12,28.1,3200000,38600000,20.593684,78.96288,200900,2400000,38600000,96700000,1366417754,11,96700000,1100000,1,5.36,8548,471031528,57856289381,803613000
US,,Sports,Cluster 1,United States,May,2007,11-05-2007,WWE,WWE,Sports,WWE,18.035616438,11,88.2,2900000,34300000,37.09024,-95.712891,178700,2100000,34300000,96000000,328239523,12,96000000,600000,1,14.7,70127,270663028,77428473662,714614000
KR,,People & Blogs,Cluster 4,South Korea,Jun,2016,29-06-2016,BLACKPINK,BLACKPINK,People & Blogs,BLACKPINK,8.893150685,29,94.3,2000000,23900000,35.907757,127.766922,124700,1500000,23900000,89800000,51709098,14,89800000,700000,1,4.15,543,42106719,32144597566,498930000
